Boost Clock ,Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Package Contents ,Power Connector ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers
['1501 MHz'],['GIGABYTE'],"['10.78"" x 5.18""']",['AMD'],['WINDFORCE 2X'],['1170 MHz'],['Yes'],,"['July 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['800 MHz (1.6 Gbps)'],['Yes'],['Powered by AMD Radeon RX VEGA 56 GPU8GB 2048-bit High Bandwidth Memory (HBM2)WINDFORCE 2X 100mm Fan Cooling SystemRadeon VR Ready PremiumFeatures 3 x HDMI / 3 x DisplayPortBuilt for Extreme Overclocking 12+1 Power Phases'],['ATX'],['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['274 mm'],['HDMI-2.0b: 4096 x 2160 @ 60 HzDisplay Port-1.4: 7680 x 4320 @ 60 Hz'],['2048-Bit'],['8GB'],['HBM2'],['GV-RXVEGA56GAMING OC-8GD'],['6'],['OpenGL 4.5'],,['Accessories:1 x PCI-E Power cable (Two 6-pin to 8-pin)'],['2 x 8-Pin'],,['Triple Slot'],['3584 Stream Processors'],['Recommended PSU: 650W'],['210W'],,['Yes'],291 (90% Positive)
['1471 MHz'],['XFX'],"['11.14"" x 5.12""']",['AMD'],['Double Fans'],['1156 MHz'],['Yes'],,"['June 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['800 MHz (1.6 Gbps)'],['Yes'],['Microsoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD Eyefinity multi-display technologyAMD App AccelerationAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Vulkan and Mantle Ready. Next Generation APIsOpenCL Support'],,['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['Yes'],['290 mm'],['4096 x 2160'],['2048-Bit'],['8GB'],['HBM2'],['RX-VEGALDFF6'],,['OpenGL 4.5'],,['Accessories:2 x 8-pin to 6-pin power cableDriver Disk Installation Guide'],['2 x 8-Pin'],,['Dual Slot'],['3584 Stream Processors'],['Minimum Power Supply Requirement: 750-WattXFX Recommended Power Supply: XFX 750W PSU'],['300W'],['Yes'],['Yes'],(6)
['1572 MHz'],['SAPPHIRE'],"['12.20"" x 5.24""']",['AMD'],['Triple Fans'],['1305 MHz'],['Yes'],,"['August 10, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['800 MHz'],['Yes'],['8GB High Bandwidth Cache (HBM2)Radeon VR Ready PremiumNext-Gen Compute UnitsRadeon FreeSync 2 TechnologyRadeon WattmanRadeon ReLiveRadeon Chill3rd Gen FinFET 14DirectX 12 OptimizedVulkan OptimizedExtra overclocking headroom on Limited Edition modelsTurbine-X system fan controlEnhance Tri-X cooling / Robust VRM coolingVapor Chamber Technology / Dual Ball bearing FansBlack Diamond choke 4th / Fuse protectionNitro Boost overclockingNitro Fan CheckNitro Quick Connect FansNitro Intelligent Fan control 3thNitro Glow RGB LED indicatorsVR Ready - Dual HDMI ports featuring HDMI 2.0Dual UEFI-Dual settings for Boost or silent operation'],['ATX'],['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['2 x HDMI 2.0b'],['PCI Express 3.0'],,['310 mm'],['5120 x 2880'],['2048-Bit'],['8GB'],['HBM2'],['100420NT+LESR'],['4'],['OpenGL 4.5'],['Windows 10Windows 7'],,['3 x 8-Pin'],['NITRO+'],['Triple Slot'],['3584 Stream Processors'],['750 Watts Power Supply (Suggestion)3 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with'],['300W'],,['Yes'],(3)
['1512 MHz'],['SAPPHIRE'],"['11.10"" x 4.92""']",['AMD'],['Double Fans'],['1208 MHz'],['Yes'],,"['August 05, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,"['800 MHz, 1600 MHz Effective']",['Yes'],['8GB HBM2Radeon VR Ready PremiumNext-Gen Compute UnitsRadeon FreeSync 2 TechnologyRadeon WattmanRadeon ReLiveRadeon Chill3rd Gen FinFET 14DirectX 12 OptimizedVulkan OptimizedEnhance Dual-X cooling / Robust VRM coolingBlack Diamond choke 4th / Fuse protectionQuick Connect FansIntelligent Fan control 3thVR Ready - Dual HDMI ports featuring HDMI 2.0Dual UEFI settings for Boost or silent operationCompatible with AMD and Intel platform'],['ATX'],['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['282 mm'],['5120 x 2880'],['2048-Bit'],['8GB'],['HBM2'],['100420PSR'],['4'],['OpenGL 4.5'],['Windows 10Windows 7'],,['2 x 8-Pin'],['PULSE'],['2.5 slot'],['3584 Stream Processors'],['Power Consumption: 180WSystem Requirement: 750-Watt Power Supply (Suggestion)2 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with'],['300W'],,['Yes'],(32)
['1573 MHz'],['ASUS'],"['11.73"" x 5.47""']",['AMD'],['Triple Fans'],['1297 MHz'],['Yes'],['1 x DL-DVI-D'],"['June 04, 2020']",,['2 x DisplayPort 1.4'],['Yes'],,['800 MHz'],['Yes'],['MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.Patented Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['2048-Bit'],['8GB'],['HBM2'],['AREZ-STRIX-RXVEGA56-O8G-GAMING'],,['OpenGL 4.5'],,['Accessories:2 x ROG Velcro Hook & Loop1 x CD1 x Quick Guide1 x Power cable'],['2 x 8-Pin'],['AREZ Strix'],,['3584 Stream Processors'],,['300W'],,['Yes'],(10)
['1471 MHz'],['PowerColor'],"['11.02"" x 5.00""']",['AMD'],['Single Fan'],['1156 MHz'],['Yes'],,"['April 14, 2020']",['DirectX 12'],['3 x DisplayPort'],,,['800 MHz (1.6 Gbps)'],,,['ATX'],['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['1 x HDMI'],['PCI Express 3.0'],,['280 mm'],,['2048-Bit'],['8GB'],['HBM2'],['AXRX VEGA 56 8GBHBM2-3DH'],['3'],['OpenGL 4.5'],,,['2 x 8-Pin'],,['Dual Slot'],['3584 Stream Processors'],['Minimum System Power Requirement: 650W'],['300W'],,['Yes'],(17)
['1471 MHz'],['MSI'],"['10.63"" x 4.33""']",['AMD'],['Single Fan'],['1156 MHz'],"['Crossfire, 4-Way (Bridgeless)']",,"['July 30, 2019']",['DirectX 12'],['3 x DisplayPort'],,,['800 MHz'],['Yes'],"['All Solid Capacitors - 10 years long lifetime under full load. - Lower temperature and higher efficiency. - Aluminum core for higher stability.  Afterburner Overclocking Utility - Predator: In-game video recording. - Supports multi-GPU setups.  AMD Eyefinity - Makes games more immersive by enabling you to play across multiple screens for an eye-popping gaming experience.  AMD FreeSync - Synchronizes the display refresh to your Radeon RX Series GPU for the fast, smooth gaming.']",,['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],['Yes'],['1 x HDMI'],['PCI Express x16'],,['270 mm'],,['2048-Bit'],['8GB'],['HBM2'],['Vega 56 AIR BOOST 8G'],['4'],['OpenGL 4.5'],,,['2 x 8-Pin'],,['Dual Slot'],['3584 Stream Processors'],['Recommended PSU: 650W'],['210W'],,['Yes'],291 (90% Positive)
,['MSI'],,['NVIDIA'],['Single Fan'],,['Yes'],,"['September 30, 2020']",,,,['Air Cooler'],,,,,['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,,['PCI Express 3.0 x16'],,,,,['8GB'],,['Radeon VEGA 56'],,,,,,['Air Boost OC'],,,,['300W'],,['Yes'],0 reviews
,['MSI'],"['11.02"" x 5.00""']",['AMD'],['BLACK FAN'],,,,"['April 14, 2020']",,['3 x DisplayPort'],,,,,,,['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['1 x HDMI'],,,['280 mm'],,,,,['Radeon RX Vega 56 8G'],,,,,,,,,,['300W'],,,(12)
['1478 MHz'],['PowerColor'],"['12.01"" x 5.51""']",['AMD'],['Triple Fans'],['1177 MHz'],['Yes'],,"['August 29, 2020']",['DirectX 12'],['2 x DisplayPort'],,,['800 MHz (1.6 Gbps)'],['Yes'],['AMD CrossFire Technology  AMD Eyefinty Technology  AMD XConnect Ready  HDMI  Microsoft DirextX 12  Microsoft Windows 10 Support  Microsoft Windows 7 Support  PCI Express 3.0  Premium VR Ready  Radeon Chill  Radeon ReLive  TRUE AUDIO TECHNOLOGY  UEFI Support  Virtual Super Resolution'],['ATX'],['Radeon RX Vega 56'],['AMD Radeon RX VEGA Series'],,['2 x HDMI'],['PCI Express 3.0'],,['305 mm'],['4096 x 2160'],['2048-Bit'],['8GB'],['HBM2'],['AXRX VEGA 56 8GBHBM2-2D2HD/OC'],,['OpenGL 4.5'],,,['1 x 6-Pin + 1 x 8-Pin'],['RED DRAGON'],['Dual Slot'],['3584 Stream Processors'],['Minimum System Power requirement: 650W'],['300W'],['Yes'],['Yes'],0 reviews
