Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,D-SUB ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1430 MHz in OC Mode1392 MHz in Gaming'],['GIGABYTE'],['768'],"['6.77"" x 4.45""']",['NVIDIA'],['Single Fan'],['1316 MHz in OC Mode1290 MHz in Gaming'],,,['1 x Dual-Link DVI-D'],"['October 25, 2016']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],['Powered by GeForce GTX 1050 TiIntegrated with 4GB GDDR5 128-bit memory90mm Fan DesignSupport up to 8K display @60Hz'],,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['172 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GV-N105TD5-4GD'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Recommended PSU: 300W'],['75W'],,965 (78% Positive)
['1455 MHz in OC Mode1430 MHz in Gaming'],['GIGABYTE'],['768'],"['7.52"" x 4.37""']",['NVIDIA'],['WINDFORCE 2X'],['1341 MHz in OC Mode1316 MHz in Gaming'],,,['1 x Dual-Link DVI-D'],"['October 25, 2016']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],['Powered by GeForce GTX 1050 TiIntegrated with 4GB GDDR5 128-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz'],['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['191 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GV-N105TOC-4GD'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Recommended PSU: 300W'],['75W'],,965 (78% Positive)
['1455 MHz'],['MSI'],['768'],"['8.46"" x 4.41""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DL-DVI-D'],"['March 15, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['215 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4GT OC'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Recommended PSU: 300W'],['75W'],['No'],402 (90% Positive)
['1468 MHz'],['EVGA'],['768'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1354 MHz'],,,['1 x Dual-Link DVI-D'],"['May 17, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7010 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['04G-P4-6253-KR'],['3'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,,,['Dual Slot'],"['300W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['75W'],,(102)
['OC Mode: 1430 MHzGaming Mode: 1417 MHzSilent Mode: 1392 MHz'],['MSI'],,"['9.02"" x 5.16""']",['NVIDIA'],['Double Fans'],['OC Mode: 1316 MHzGaming Mode: 1303 MHzSilent Mode: 1290 MHz'],,,['1 x DL DVI-D'],"['April 08, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],['DirectX 12 ReadyGamestream to NVIDIA SHIELD'],,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['229 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti GAMING 4G'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power consumption: 75WRecommended PSU: 300W'],['75W'],,"1,139 (70% Positive)"
['N/A'],['EVGA'],['640'],"['5.70"" x 4.38""']",['NVIDIA'],['ACX 2.0 Single Fan'],['1354 MHz'],,,['1 x Dual-Link DVI-D'],"['November 12, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1050'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['128-Bit'],['2GB'],['GDDR5'],['02G-P4-6150-KR'],['3'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1050 ACX Single'],,,,,['Dual Slot'],"['300W or greater power supply.Total Power Draw: 75 WattsPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['75W'],,(39)
['N/A'],['ASUS'],['768'],"['8.00"" x 4.50""']",['NVIDIA'],['Double Fans'],['OC Mode: 1366 MHzGaming Mode (Default): 1341 MHz'],,,['1 x DVI-D'],"['March 13, 2020']",,['1 x DisplayPort 1.4'],,['Black'],['7008 MHz'],"[""Esports Gaming tested with major titles like League of Legends, Overwatch and PlayerUnknown's BattlegroundsStrong backplate support designed to reinforce circuit boardPlug and play design requires no PCIe power connectors for easy graphics upgradeAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface""]",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['203 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['CERBERUS-GTX1050TI-O4G'],,['OpenGL 4.5'],,['GTX 1050 Ti 4G'],['Accessories:1 x CD1 x Quick Guide'],,,['Cerberus'],['Dual Slot'],,['75W'],,(13)
['1480 MHz'],['EVGA'],['768'],"['9.00"" x 4.38""']",['NVIDIA'],['Double Fans'],['1366 MHz'],,,['1 x Dual-Link DVI-D'],"['June 30, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],['None'],['7010 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['229 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['04G-P4-6255-KR'],['3'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,,,['Dual Slot'],"['300W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['75W'],,292 (90% Positive)
['OC mode: 1506 MHzGaming mode: 1493 MHz'],['ASUS'],['768'],"['9.49"" x 5.08""']",['NVIDIA'],['Double Fans'],['OC mode: 1392 MHzGaming mode: 1379 MHz'],,,['2 x Native DVI-D'],"['April 03, 2019']",,['1 x Native DisplayPort 1.4'],,,['7008 MHz'],"['ASUS GeForce GTX 1050Ti 4GB ROG STRIX OC Edition HDMI 2.0 DP 1.4 Gaming Graphics CardNew NVIDIA Pascal architecture delivers improved performance and power efficiencyClassic and modern games at 1080p @ 60 FPSFast, smooth, power-efficient gaming experiencesAura SYNC RGB lighting on the shroud delivers unique styling and personalization with six lighting effects across millions of colorsDirectCU II with Unique Wing-Blade 0db Fans deliver 30% cooler and 3X quieter performanceAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x Native HDMI 2.0'],['PCI Express 3.0'],,['241 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['STRIX-GTX1050TI-O4G-GAMING'],,['OpenGL 4.5'],,,['Accessories:2 x Orange Color Decals2 x ROG Cable Ties'],['6-Pin'],,['ROG'],['Dual Slot'],,['75W'],,(24)
['1417 MHz'],['ZOTAC'],['768'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1303 MHz'],,,['1 x DL-DVI-D'],"['November 22, 2018']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7 GHz'],"[""Everyone deserves great gaming. That's why we created the fast, powerful ZOTAC GeForce GTX 1050 Ti Mini. Now you can turn your PC into a true gaming rig, powered by NVIDIA Pascal--the most advanced GPU architecture ever created. It's loaded with innovative NVIDIA Game Ready technologies that let every gamer experience the latest titles in their full glory in super compact form.""]",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['ZT-P10510A-10L'],['3'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,,['No'],,['Dual Slot'],['Recommended Power Supply: 300WPower Consumption: 75W'],['75W'],,(68)
