Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers
,['GIGABYTE'],['3072'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1845 MHz'],"['August 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMING OC-8GC rev. 2.0'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],"['1 x 6-Pin, 1 x 8-Pin']",,['2-way NVIDIA NVLINK'],,['2.5 Slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],16 (81% Positive)
['1860 MHz'],['MSI'],['2944'],"['12.87"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1515 MHz'],"['August 30, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],"['TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.TRI-FROZR Thermal Design- Using three of the award-winning TORX Fans 3.0 with Double Ball Bearings.- Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.RGB Mystic Light- Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.Dragon Center- 1 click to optimize all you need for smooth gaming.']",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['327 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 GAMING X TRIO'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories: 1 x 6-pin to 8-pin power cable1 x Graphics Card Support Bracket'],['2 x 8-Pin'],,['2-Way SLI'],,,['Recommended PSU: 650W'],['260W'],,['Yes'],0 reviews
['OC: 1590 MHzGaming: 1575 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['August 25, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing  GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-A11G-GAMING'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x ROG Velcro Hook & Loop1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],36 (64% Positive)
['OC Mode: 1560 MHz Gaming Mode (Default): 1545 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['August 25, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-11G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop1 x CD'],['2 x 8-Pin'],,['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],36 (64% Positive)
['1755 MHz'],['MSI'],['4352'],"['12.87"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],['TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.Dragon Center- 1 click to optimize all you need for smooth gaming.'],,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['327 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['RTX 2080 TI GAMING X TRIO'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['2 x 8-pin, 1 x 6-pin']",,"['NVIDIA NVLINK (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['300W'],,['Yes'],88 (80% Positive)
['OC Mode: 1665 MHzGaming Mode: 1650 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['August 05, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-O11G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],36 (64% Positive)
['1800 MHz'],['MSI'],['2944'],"['10.55"" x 4.49""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['August 31, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],"[""Customized Dual Fan Design:Double ball bearing: Strong and lasting core for years of smooth gaming.Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Afterburner Overclocking Utility:Wireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNC:Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce RTX VR Ready:NVIDIA's unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 VENTUS 8G OC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,['2-Way SLI'],,,['Recommended PSU: 650W'],['225W'],,['Yes'],0 reviews
['OC mode: 1860 MHzGaming mode: 1830 MHz'],['ASUS'],['3072'],"['11.80"" x 5.10""']",['NVIDIA'],['Triple Fans'],['OC mode: 1680 MHzGaming mode: 1650 MHz'],"['July 31, 2020']",,['2 x DisplayPort 1.4'],,['15500 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2080S-A8G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG STRIX'],['2.7 Slots'],['Recommended PSU: 650W'],['250W'],,['Yes'],16 (81% Positive)
['1845 MHz'],['MSI'],['3072'],"['12.91"" x 5.51""']",['NVIDIA'],['Triple Fans'],,"['September 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15.5 Gbps'],"['TORX FAN 3.0: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.TRI-FROZR Thermal DesignUsing three of the award-winning TORX Fans 3.0 with Double Ball Bearings.Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['328 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 Super Gaming X TRIO'],['4'],['OpenGL 4.5'],,,['1 x USB-C'],,['2 x 8-Pin'],,"['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['250W'],,['Yes'],88 (80% Positive)
,['GIGABYTE'],['3072'],"['11.42"" x 5.16""']",['NVIDIA'],['WATERFORCE'],['1860 MHz'],"['September 03, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWATERFORCE all-in-one cooling system240mm radiator with 2 x 120mm RGB fans7 Video OutputsRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2080 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SAORUS W-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CDInstallationScrews & Pads'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Dual Slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],16 (81% Positive)
