3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['OC Mode: 1680 MHzGaming Mode (Default): 1650 MHz'],['ASUS'],['2304'],"['7.80"" x 4.80""']",['NVIDIA'],['Double Fans'],['1410 MHz'],['1 x DL-DVI-D'],"['October 07, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['OC Edition: Boost Clock 1680 MHz (OC Mode) / 1650 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Coolest dual-fan GPU built for the Intel NUC 9 Extreme Kit and Intel NUC 9 Pro Kit.*A 2-slot Design maximizes compatibility and cooling efficiency for superior performance in small chassis.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.* Based on market survey and internal testing prior to January 2020.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['197 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070-O8G-MINI'],,['OpenGL 4.6'],,,,['Accessories:1 x Speedsetup manual'],['8-Pin'],['No'],['Dual'],['Dual Slot'],['Recommended PSU: 550W'],['225W'],['Yes'],0 reviews
,['OC Mode: 1740 MHzGaming Mode (Default): 1710 MHz'],['ASUS'],['2304'],"['9.50"" x 5.10""']",['NVIDIA'],['Double Fans'],['1410 MHz'],['1 x DL-DVI-D'],"['October 27, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['OC Edition: Boost Clock 1740 MHz (OC Mode) / 1710 MHz (Gaming Mode).NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.DirectCU II brings copper heatpipes into direct contact with the die for better cooling.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['242 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070-O8G-EVO-V2'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x Speedsetup manual'],['8-Pin'],['No'],['Dual'],['2.5 slots'],['Recommended PSU: 550W'],['225W'],,883 (79% Positive)
,,['GIGABYTE'],['2560'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE STACK'],['1905 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2070 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N207SAORUS-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CD'],['2 x 8-Pin'],['2-way NVIDIA NVLINK'],['AORUS'],['Triple Slot'],['System PSU Limitation: 650W'],['215W'],['Yes'],883 (79% Positive)
,['OC mode: 1845 MHzGaming mode: 1815 MHz'],['ASUS'],['2560'],"['10.51"" x 4.65""']",['NVIDIA'],['Double Fans'],['OC mode: 1635 MHzGaming mode: 1605 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070S-O8G-EVO'],['4'],['OpenGL 4.6'],,['DUAL-RTX2070S-O8G-EVO'],,['Accessories:1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",['SLI Ready'],['Dual'],['2.7 slot'],['Recommended PSU: 650W'],['235W'],['Yes'],883 (79% Positive)
,['1800 MHz'],['MSI'],['2560'],"['11.69"" x 5.63""']",['NVIDIA'],['Double Fans'],,,"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Twin Frozr 7 Thermal DesignTORX Fan 3.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['297 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 Super GAMING X'],['4'],['OpenGL 4.5'],,,,,"['1 x 6-Pin, 1 x 8-Pin']","['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Pwr Supply: 650W'],['215W'],['Yes'],247 (72% Positive)
,['OC Mode: 1740 MHz Gaming Mode (Default): 1710 MHz'],['ASUS'],['2304'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['August 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing TM GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070-O8G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-Pin, 1 x 8-Pin']",['No'],['Dual'],['2.7-slot'],['Recommended PSU: 550W'],['185W'],['Yes'],0 reviews
,,['GIGABYTE'],['2560'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesProtection Metal Back Plate'],['ATX'],['GeForce RTX 2070 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N207SGAMING OC-8GD'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CD'],"['1 x 8-Pin, 1 x 6-Pin']",['2-way NVIDIA NVLINK'],,['2.5 slot'],['System PSU Limitation: 650W'],['235W'],['Yes'],192 (88% Positive)
,,['ASUS'],['2560'],"['10.55"" x 4.45""']",['NVIDIA'],['Single Fan'],,,"['October 27, 2020']",,['3 x DisplayPort 1.4'],,,,"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.A redesigned shroud incorporates a raised edge to preserve air intake in cramped environments.Dual ball fan bearings can last up to twice as long as sleeve bearing designs.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2070S-8G-EVO'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",['SLI Ready'],['Turbo'],['Dual Slot'],['Recommended PSU: 650W'],['235W'],['Yes'],883 (79% Positive)
,['1785 MHz'],['MSI'],['2560'],"['11.69"" x 5.63""']",['NVIDIA'],['Double Fans'],,,"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['297 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 Super Armor OC'],['4'],['OpenGL 4.5'],,,,,"['1 x 6-Pin, 1 x 8-Pin']","['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Pwr Supply: 650W'],['215W'],['Yes'],247 (72% Positive)
,,['GIGABYTE'],['2560'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],,"['October 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2070 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N207SGAMINGOC WHITE-8GD'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CD'],['1 x 6-Pin / 1 x 8-Pin'],['2-way NVIDIA NVLINK'],,['2.5 slot'],['Recommended PSU: 650W'],['235W'],['Yes'],36 (64% Positive)
