Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['OC Mode: 1809 MHzGaming Mode (Default): 1785 MHz'],['ASUS'],['1280'],"['9.45"" x 5.16""']",['NVIDIA'],['Double Fans'],['OC Mode: 1594 MHzGaming Mode (Default): 1569 MHz'],['1 x DVI-D'],"['October 07, 2020']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],"['1809 MHz Boost Clock in OC mode for brilliant eSports gaming.Dual-Ball Bearing Fan runs smoother by reducing friction, further improving 2X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.144-Hour Test Passed and Top Games Tested for best compatibility.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['240 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['EX-GTX1060-O6G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],['6-Pin'],['No'],['Expedition'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],0 reviews
['1708 MHz'],['EVGA'],['1280'],"['6.80"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6161-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['6-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],292 (90% Positive)
['1835 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['May 21, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6267-RX'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(11)
['N/A'],['EVGA'],['1152'],"['6.80"" x 4.38""']",['NVIDIA'],['ACX 2.0 Single Fan'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['June 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],['None'],['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA GSYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6160-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1060 ACX 2.0 Single'],,['6-Pin'],['No'],,['Dual Slot'],['Minimum of a 400W power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts'],['120W'],['Yes'],(76)
['OC Mode: 1847 MHzGaming Mode: 1809 MHz'],['GIGABYTE'],['1280'],"['10.94"" x 4.49""']",['NVIDIA'],['WINDFORCE 2X'],['OC Mode: 1620 MHzGaming Mode: 1594 MHz'],['1 x Dual-link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['278 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060G1 GAMING-6GD REV 2.0'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['System PSU Limitation\t: 400WGPU (TDP): 120W (Real)Total Graphics Power (TGP): 155W (Real)'],['120W'],['Yes'],292 (90% Positive)
['1797 MHz in OC Mode1771 MHz in Gaming Mode'],['GIGABYTE'],['1152'],"['8.78"" x 4.76""']",['NVIDIA'],['WINDFORCE 2X'],['1582 MHz in OC Mode1556 MHz in Gaming Mode'],['2 x Dual-link DVI-D'],"['October 22, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuilt with 4+1 power phases'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['223 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['GV-N1060WF2OC-3GD'],['4'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],292 (90% Positive)
['1708 MHz'],['ZOTAC'],['1152'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DL-DVI'],"['July 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],"['The ZOTAC GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies, making it the perfect choice for the latest high-definition games. Powered by NVIDIA Pascal - the most advanced GPU architecture ever created - the ZOTAC GeForce GTX 1060 delivers brilliant performance that opens the door to virtual reality and beyond.FEATURES- Simultaneous Multi-Projection- VR Ready- NVIDIA Ansel- NVIDIA GPU BOOST 3.0- NVIDIA G-Sync- NVIDIA GameStream- Vulkan API']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['3GB'],['GDDR5'],['ZT-P10610A-10L'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:User Manual'],['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400WPower Consumption: 120W'],['120W'],['Yes'],(34)
['1835 MHz'],['EVGA'],['1152'],"['6.80"" x 4.38""']",['NVIDIA'],['ACX 2.0 Single Fan'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['June 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyOpenGL 4.6 SupportVR ReadyNVIDIA GPU Boost 3.0Vulkan APIMax Digital Resolution - 7680x4320Built for EVGA Precision XOCNVIDIA G-SYNC ReadySimultaneous Multi-ProjectionNVIDIA AnselMicrosoft DirectX 12 APIPCI Express 3.0HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6162-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['6-Pin'],['No'],,['Dual Slot'],['Minimum of a 400 Watts power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts'],['120W'],['Yes'],(89)
"['OC mode: 1809 MHzGaming Mode (Default): 1785 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['1152'],"['9.53"" x 5.12""']",['NVIDIA'],['Double Fans'],['OC mode: 1594 MHzGaming Mode (Default): 1569 MHz'],['1 x Native DVI-D'],"['February 11, 2019']",['DirectX 12'],['2 x Native DisplayPort 1.4'],,,['8008 MHz'],"['ASUS Dual series of GeForce GTX 1060 graphics provide sweet spot performance- 1809 MHz Boost Clock in OC mode for outstanding performance and gaming experience.- Unique Wing-Blade Fans for max air flow with 105% more air pressure.- Perfectly Matched with ASUS X99 A II motherboards for optimized style and performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-Friendly HDMI Ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x Native HDMI 2.0b'],['PCI Express 3.0'],['242 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['DUAL-GTX1060-O3G'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],['6-Pin'],,['Dual'],['2.1 slots'],,['120W'],['Yes'],(73)
['1708 MHz'],['ZOTAC'],['1280'],"['8.31"" x 4.92""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['IceStormSimultaneous Multi-Projection4K / VR ReadyNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamSuper Compact'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['211 mm'],,['192-Bit'],['6GB'],['GDDR5X'],['ZT-P10620A-10M'],['4'],['OpenGL 4.5'],['Windows 10 / 7 64-bit'],,['ZOTAC GeForce GTX 1060 6GB GDDR5X1 x Dual 6-pin to 8-pin power cableUser Manual'],['8-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 500W'],['120W'],['Yes'],(101)
